# Symbol baseline: rust/crates/openpage/src/webpage/mod.rs
# Generated: 2026-07-22
# Format: line | kind | owner | visibility | role | normalized signature
# Count: 1014
44 | item | - | pub | code | pub enum WebMode
1636 | method | impl WebFrame | pub | code | pub fn has_rect(&self) -> OpenPageResult<bool>
1640 | method | impl WebFrame | pub | code | pub fn is_in_viewport(&self) -> OpenPageResult<bool>
1644 | method | impl WebFrame | pub | code | pub fn is_whole_in_viewport(&self) -> OpenPageResult<bool>
1648 | method | impl WebFrame | pub | code | pub fn is_covered(&self) -> OpenPageResult<bool>
1652 | method | impl WebFrame | pub | code | pub fn is_clickable(&self) -> OpenPageResult<bool>
1656 | method | impl WebFrame | pub | code | pub fn has_alert(&self) -> OpenPageResult<bool>
1660 | method | impl WebFrame | pub | code | pub fn wait_for_doc_loaded(&self, timeout_ms: u64) -> OpenPageResult<bool>
1664 | method | impl WebFrame | pub | code | pub fn wait_until_displayed(&self, timeout_ms: u64) -> OpenPageResult<bool>
1668 | method | impl WebFrame | pub | code | pub fn wait_until_hidden(&self, timeout_ms: u64) -> OpenPageResult<bool>
1672 | method | impl WebFrame | pub | code | pub fn wait_until_enabled(&self, timeout_ms: u64) -> OpenPageResult<bool>
1676 | method | impl WebFrame | pub | code | pub fn wait_until_disabled(&self, timeout_ms: u64) -> OpenPageResult<bool>
1680 | method | impl WebFrame | pub | code | pub fn wait_until_deleted(&self, timeout_ms: u64) -> OpenPageResult<bool>
1684 | method | impl WebFrame | pub | code | pub fn wait_until_clickable(&self, timeout_ms: u64) -> OpenPageResult<bool>
1688 | method | impl WebFrame | pub | code | pub fn wait_until_has_rect(&self, timeout_ms: u64) -> OpenPageResult<bool>
1692 | method | impl WebFrame | pub | code | pub fn wait_until_covered(&self, timeout_ms: u64) -> OpenPageResult<bool>
1696 | method | impl WebFrame | pub | code | pub fn wait_until_not_covered(&self, timeout_ms: u64) -> OpenPageResult<bool>
1700 | method | impl WebFrame | pub | code | pub fn wait_until_disabled_or_deleted(&self, timeout_ms: u64) -> OpenPageResult<bool>
1704 | method | impl WebFrame | pub | code | pub fn wait_until_stop_moving(&self, timeout_ms: u64) -> OpenPageResult<bool>
1708 | method | impl WebFrame | pub | code | pub fn snapshot_root(&self) -> OpenPageResult<SessionElement>
1712 | method | impl WebFrame | pub | code | pub fn snapshot_find<'a, L>(&self, locator: L) -> OpenPageResult<SessionElement> where L: Into<LocatorInput<'a>>,
1719 | method | impl WebFrame | pub | code | pub fn s_ele<'a, L>(&self, locator: L) -> OpenPageResult<SessionElement> where L: Into<LocatorInput<'a>>,
1727 | method | impl WebFrame | pub | code | pub fn snapshot_find_all<'a, L>(&self, locator: L) -> OpenPageResult<Vec<SessionElement>> where L: Into<LocatorInput<'a>>,
1734 | method | impl WebFrame | pub | code | pub fn s_eles<'a, L>(&self, locator: L) -> OpenPageResult<Vec<SessionElement>> where L: Into<LocatorInput<'a>>,
1742 | method | impl WebFrame | pub | code | pub fn snapshot_find_by(&self, by: &str, value: &str) -> OpenPageResult<SessionElement>
1746 | method | impl WebFrame | pub | code | pub fn snapshot_find_all_by( &self, by: &str, value: &str, ) -> OpenPageResult<Vec<SessionElement>>
1754 | method | impl WebFrame | pub | code | pub fn snapshot_query_xpath( &self, expression: &str, ) -> OpenPageResult<Vec<SessionXPathResult>>
1761 | method | impl WebFrame | pub | code | pub fn listener(&self) -> Listener
1765 | method | impl WebFrame | pub | code | pub fn listen(&self) -> Listener
1769 | method | impl WebFrame | pub | code | pub fn console(&self) -> Console
1775 | method | impl WebElement | private | code | fn browser_element(&self) -> Option<&Element>
1782 | method | impl WebElement | private | code | fn wrap_browser_element(&self, element: Element) -> WebElement
1790 | method | impl WebElement | private | code | fn wrap_browser_frame_result(&self, frame: Frame) -> OpenPageResult<WebFrame>
1798 | method | impl WebElement | private | code | fn wrap_page(&self, page: Page) -> BrowserTabReference
1808 | method | impl WebElement | pub(crate) | code | pub(crate) fn none_element_runtime_config_handle( &self, ) -> Option<&ElementsOneRuntimeConfigHandle>
1819 | method | impl WebElement | pub | code | pub fn scroll(&self) -> WebElementScroller<'_>
1823 | method | impl WebElement | pub | code | pub fn clicker(&self) -> WebElementClicker<'_>
1827 | method | impl WebElement | pub | code | pub fn set(&self) -> WebElementSetter<'_>
1831 | method | impl WebElement | pub | code | pub fn select(&self) -> WebElementSelector<'_>
1835 | method | impl WebElement | pub | code | pub fn states(&self) -> WebElementStates<'_>
1839 | method | impl WebElement | pub | code | pub fn rect(&self) -> WebElementRect<'_>
1843 | method | impl WebElement | pub | code | pub fn wait(&self) -> WebElementWait<'_>
1847 | method | impl WebElement | pub | code | pub fn tag(&self) -> OpenPageResult<String>
1854 | method | impl WebElement | pub | code | pub fn text(&self) -> OpenPageResult<Option<String>>
1861 | method | impl WebElement | pub | code | pub fn html(&self) -> OpenPageResult<Option<String>>
1868 | method | impl WebElement | pub | code | pub fn inner_html(&self) -> OpenPageResult<Option<String>>
1875 | method | impl WebElement | pub | code | pub fn snapshot_root(&self) -> OpenPageResult<SessionElement>
1882 | method | impl WebElement | pub | code | pub fn snapshot_find<'a, L>(&self, locator: L) -> OpenPageResult<SessionElement> where L: Into<LocatorInput<'a>>,
1892 | method | impl WebElement | pub | code | pub fn s_ele<'a, L>(&self, locator: L) -> OpenPageResult<SessionElement> where L: Into<LocatorInput<'a>>,
1900 | method | impl WebElement | pub | code | pub fn snapshot_find_all<'a, L>(&self, locator: L) -> OpenPageResult<Vec<SessionElement>> where L: Into<LocatorInput<'a>>,
1912 | method | impl WebElement | pub | code | pub fn s_eles<'a, L>(&self, locator: L) -> OpenPageResult<Vec<SessionElement>> where L: Into<LocatorInput<'a>>,
1920 | method | impl WebElement | pub | code | pub fn snapshot_find_by(&self, by: &str, value: &str) -> OpenPageResult<SessionElement>
1929 | method | impl WebElement | pub | code | pub fn snapshot_find_all_by( &self, by: &str, value: &str, ) -> OpenPageResult<Vec<SessionElement>>
1942 | method | impl WebElement | pub | code | pub fn snapshot_query_xpath( &self, expression: &str, ) -> OpenPageResult<Vec<SessionXPathResult>>
1954 | method | impl WebElement | pub | code | pub fn ele<'a, L>(&self, locator: L) -> OpenPageResult<ElementsOneOwned<WebElement>> where L: Into<LocatorInput<'a>>,
1969 | method | impl WebElement | pub | code | pub fn get_frame<'a, L>(&self, target: L) -> OpenPageResult<WebFrame> where L: Into<PageFrameTarget<'a>>,
1983 | method | impl WebElement | pub | code | pub fn get_frame_with_timeout<'a, L>( &self, target: L, timeout_ms: u64, ) -> OpenPageResult<WebFrame> where L: Into<PageFrameTarget<'a>>,
2001 | method | impl WebElement | pub | code | pub fn get_frame_by_index<I>(&self, index: I) -> OpenPageResult<WebFrame> where I: FrameIndexInput,
2015 | method | impl WebElement | pub | code | pub fn get_frame_by_index_with_timeout<I>( &self, index: I, timeout_ms: u64, ) -> OpenPageResult<WebFrame> where I: FrameIndexInput,
2033 | method | impl WebElement | pub | code | pub fn find<'a, L>(&self, locator: L) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2045 | method | impl WebElement | pub | code | pub fn find_all<'a, L>(&self, locator: L) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
2064 | method | impl WebElement | pub | code | pub fn eles<'a, L>(&self, locator: L) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
2071 | method | impl WebElement | pub | code | pub fn find_locators<'a, L>( &self, locators: L, any_one: bool, first_match_only: bool, ) -> OpenPageResult<Vec<LocatorMatch<WebElement>>> where L: Into<LocatorBatchInput<'a>>,
2110 | method | impl WebElement | pub | code | pub fn attrs(&self) -> OpenPageResult<Vec<(String, String)>>
2117 | method | impl WebElement | pub | code | pub fn attr(&self, name: &str) -> OpenPageResult<Option<String>>
2124 | method | impl WebElement | pub | code | pub fn property(&self, name: &str) -> OpenPageResult<Option<Value>>
2133 | method | impl WebElement | pub | code | pub fn raw_text(&self) -> OpenPageResult<Option<String>>
2140 | method | impl WebElement | pub | code | pub fn value(&self) -> OpenPageResult<Option<String>>
2147 | method | impl WebElement | pub | code | pub fn link(&self) -> OpenPageResult<Option<String>>
2160 | method | impl WebElement | pub | code | pub fn child_count(&self) -> OpenPageResult<usize>
2167 | method | impl WebElement | pub | code | pub fn css_path(&self) -> OpenPageResult<String>
2174 | method | impl WebElement | pub | code | pub fn xpath(&self) -> OpenPageResult<String>
2181 | method | impl WebElement | pub | code | pub fn comments(&self) -> OpenPageResult<Vec<String>>
2188 | method | impl WebElement | pub | code | pub fn texts(&self, text_node_only: bool) -> OpenPageResult<Vec<String>>
2195 | method | impl WebElement | pub | code | pub fn is_displayed(&self) -> OpenPageResult<bool>
2204 | method | impl WebElement | pub | code | pub fn is_checked(&self) -> OpenPageResult<bool>
2213 | method | impl WebElement | pub | code | pub fn is_selected(&self) -> OpenPageResult<bool>
2222 | method | impl WebElement | pub | code | pub fn is_enabled(&self) -> OpenPageResult<bool>
2231 | method | impl WebElement | pub | code | pub fn is_alive(&self) -> OpenPageResult<bool>
2240 | method | impl WebElement | pub | code | pub fn is_in_viewport(&self) -> OpenPageResult<bool>
2249 | method | impl WebElement | pub | code | pub fn is_whole_in_viewport(&self) -> OpenPageResult<bool>
2258 | method | impl WebElement | pub | code | pub fn is_covered(&self) -> OpenPageResult<bool>
2267 | method | impl WebElement | pub | code | pub fn is_clickable(&self) -> OpenPageResult<bool>
2276 | method | impl WebElement | pub | code | pub fn has_rect(&self) -> OpenPageResult<bool>
2285 | method | impl WebElement | pub | code | pub fn style(&self, name: &str, pseudo: Option<&str>) -> OpenPageResult<String>
2294 | method | impl WebElement | pub | code | pub fn pseudo_before(&self) -> OpenPageResult<String>
2303 | method | impl WebElement | pub | code | pub fn pseudo_after(&self) -> OpenPageResult<String>
2312 | method | impl WebElement | pub | code | pub fn scroll_to_top(&self) -> OpenPageResult<()>
2321 | method | impl WebElement | pub | code | pub fn scroll_to_bottom(&self) -> OpenPageResult<()>
2330 | method | impl WebElement | pub | code | pub fn scroll_to_half(&self) -> OpenPageResult<()>
2339 | method | impl WebElement | pub | code | pub fn scroll_to_rightmost(&self) -> OpenPageResult<()>
2348 | method | impl WebElement | pub | code | pub fn scroll_to_leftmost(&self) -> OpenPageResult<()>
2357 | method | impl WebElement | pub | code | pub fn scroll_to_location(&self, x: f64, y: f64) -> OpenPageResult<()>
2366 | method | impl WebElement | pub | code | pub fn scroll_up(&self, pixels: f64) -> OpenPageResult<()>
2375 | method | impl WebElement | pub | code | pub fn scroll_down(&self, pixels: f64) -> OpenPageResult<()>
2384 | method | impl WebElement | pub | code | pub fn scroll_left(&self, pixels: f64) -> OpenPageResult<()>
2393 | method | impl WebElement | pub | code | pub fn scroll_right(&self, pixels: f64) -> OpenPageResult<()>
2402 | method | impl WebElement | pub | code | pub fn scroll_to_see(&self, center: Option<bool>) -> OpenPageResult<()>
2411 | method | impl WebElement | pub | code | pub fn scroll_to_center(&self) -> OpenPageResult<()>
2420 | method | impl WebElement | pub | code | pub fn src( &self, timeout_ms: u64, base64_to_bytes: bool, ) -> OpenPageResult<Option<ElementResource>>
2435 | method | impl WebElement | pub | code | pub fn save( &self, path: Option<&Path>, name: Option<&str>, timeout_ms: u64, rename: bool, ) -> OpenPageResult<std::path::PathBuf>
2452 | method | impl WebElement | pub | code | pub fn shadow_root(&self) -> OpenPageResult<Option<ShadowRoot>>
2461 | method | impl WebElement | pub | code | pub fn sr(&self) -> OpenPageResult<Option<ShadowRoot>>
2465 | method | impl WebElement | pub | code | pub fn parent(&self) -> OpenPageResult<WebElement>
2474 | method | impl WebElement | pub | code | pub fn parent_level(&self, level: usize) -> OpenPageResult<WebElement>
2483 | method | impl WebElement | pub | code | pub fn parent_with<'a, L>(&self, locator: L, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2495 | method | impl WebElement | pub | code | pub fn child(&self) -> OpenPageResult<WebElement>
2499 | method | impl WebElement | pub | code | pub fn child_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2511 | method | impl WebElement | pub | code | pub fn children(&self) -> OpenPageResult<Vec<WebElement>>
2515 | method | impl WebElement | pub | code | pub fn children_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
2534 | method | impl WebElement | pub | code | pub fn prev(&self) -> OpenPageResult<WebElement>
2538 | method | impl WebElement | pub | code | pub fn prev_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2550 | method | impl WebElement | pub | code | pub fn prevs(&self) -> OpenPageResult<Vec<WebElement>>
2554 | method | impl WebElement | pub | code | pub fn prevs_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
2573 | method | impl WebElement | pub | code | pub fn next(&self) -> OpenPageResult<WebElement>
2577 | method | impl WebElement | pub | code | pub fn next_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2589 | method | impl WebElement | pub | code | pub fn nexts(&self) -> OpenPageResult<Vec<WebElement>>
2593 | method | impl WebElement | pub | code | pub fn nexts_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
2612 | method | impl WebElement | pub | code | pub fn before(&self) -> OpenPageResult<WebElement>
2616 | method | impl WebElement | pub | code | pub fn before_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2628 | method | impl WebElement | pub | code | pub fn befores(&self) -> OpenPageResult<Vec<WebElement>>
2632 | method | impl WebElement | pub | code | pub fn befores_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
2651 | method | impl WebElement | pub | code | pub fn after(&self) -> OpenPageResult<WebElement>
2655 | method | impl WebElement | pub | code | pub fn after_with<'a, L>(&self, locator: Option<L>, index: usize) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2667 | method | impl WebElement | pub | code | pub fn afters(&self) -> OpenPageResult<Vec<WebElement>>
2671 | method | impl WebElement | pub | code | pub fn afters_with<'a, L>(&self, locator: Option<L>) -> OpenPageResult<Vec<WebElement>> where L: Into<LocatorInput<'a>>,
2690 | method | impl WebElement | pub | code | pub fn over(&self) -> OpenPageResult<Option<WebElement>>
2701 | method | impl WebElement | pub | code | pub fn over_with_timeout(&self, timeout_ms: u64) -> OpenPageResult<Option<WebElement>>
2712 | method | impl WebElement | pub | code | pub fn offset<'a, L>( &self, locator: Option<L>, x: Option<f64>, y: Option<f64>, timeout_ms: u64, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2732 | method | impl WebElement | pub | code | pub fn east<'a, L>( &self, locator: Option<L>, pixels: Option<i64>, index: usize, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2751 | method | impl WebElement | pub | code | pub fn south<'a, L>( &self, locator: Option<L>, pixels: Option<i64>, index: usize, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2770 | method | impl WebElement | pub | code | pub fn west<'a, L>( &self, locator: Option<L>, pixels: Option<i64>, index: usize, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2789 | method | impl WebElement | pub | code | pub fn north<'a, L>( &self, locator: Option<L>, pixels: Option<i64>, index: usize, ) -> OpenPageResult<WebElement> where L: Into<LocatorInput<'a>>,
2808 | method | impl WebElement | pub | code | pub fn click(&self) -> OpenPageResult<()>
2817 | method | impl WebElement | pub | code | pub fn click_with_options( &self, by_js: Option<bool>, timeout_ms: Option<u64>, wait_stop: bool, ) -> OpenPageResult<bool>
2833 | method | impl WebElement | pub | code | pub fn click_at( &self, offset_x: Option<f64>, offset_y: Option<f64>, button: &str, count: u32, ) -> OpenPageResult<()>
2850 | method | impl WebElement | pub | code | pub fn click_multi(&self, times: u32) -> OpenPageResult<()>
2859 | method | impl WebElement | pub | code | pub fn click_left(&self) -> OpenPageResult<()>
2868 | method | impl WebElement | pub | code | pub fn click_left_with_options( &self, by_js: Option<bool>, timeout_ms: Option<u64>, wait_stop: bool, ) -> OpenPageResult<bool>
2884 | method | impl WebElement | pub | code | pub fn click_middle(&self) -> OpenPageResult<()>
2893 | method | impl WebElement | pub | code | pub fn click_right(&self) -> OpenPageResult<()>
2902 | method | impl WebElement | pub | code | pub fn input<'a, I>(&self, text: I) -> OpenPageResult<()> where I: Into<ActionsInput<'a>>,
2914 | method | impl WebElement | pub | code | pub fn input_with_options<'a, I>(&self, text: I, clear: bool, by_js: bool) -> OpenPageResult<()> where I: Into<ActionsInput<'a>>,
2928 | method | impl WebElement | pub | code | pub fn input_keys_with_options<'a, I>( &self, values: I, clear: bool, by_js: bool, ) -> OpenPageResult<()> where I: Into<ActionsInput<'a>>,
2947 | method | impl WebElement | pub | code | pub fn clear(&self) -> OpenPageResult<()>
2956 | method | impl WebElement | pub | code | pub fn submit(&self) -> OpenPageResult<()>
2965 | method | impl WebElement | pub | code | pub fn clear_with_mode(&self, by_js: bool) -> OpenPageResult<()>
2974 | method | impl WebElement | pub | code | pub fn set_file_input_files<'a, F>(&self, files: F) -> OpenPageResult<()> where F: Into<UploadFilesInput<'a>>,
2988 | method | impl WebElement | pub | code | pub fn press_key(&self, key: &str) -> OpenPageResult<()>
2997 | method | impl WebElement | pub | code | pub fn run_js(&self, script: &str) -> OpenPageResult<Value>
3006 | method | impl WebElement | pub | code | pub fn run_js_with_args( &self, script: &str, args: &[Value], as_expr: bool, ) -> OpenPageResult<Value>
3022 | method | impl WebElement | pub | code | pub fn run_js_with_options( &self, script: &str, args: &[Value], as_expr: bool, timeout_ms: Option<u64>, ) -> OpenPageResult<Value>
3039 | method | impl WebElement | pub | code | pub fn run_async_js(&self, script: &str) -> OpenPageResult<()>
3048 | method | impl WebElement | pub | code | pub fn run_async_js_with_args( &self, script: &str, args: &[Value], as_expr: bool, ) -> OpenPageResult<()>
3064 | method | impl WebElement | pub | code | pub fn run_async_js_with_options( &self, script: &str, args: &[Value], as_expr: bool, timeout_ms: Option<u64>, ) -> OpenPageResult<()>
3081 | method | impl WebElement | pub | code | pub fn save_screenshot(&self, path: impl AsRef<Path>) -> OpenPageResult<()>
3090 | method | impl WebElement | pub | code | pub fn screenshot_bytes( &self, scroll_to_center: bool, timeout_ms: u64, ) -> OpenPageResult<Vec<u8>>
3105 | method | impl WebElement | pub | code | pub fn screenshot_base64( &self, scroll_to_center: bool, timeout_ms: u64, ) -> OpenPageResult<String>
3120 | method | impl WebElement | pub | code | pub fn get_screenshot( &self, path: Option<&Path>, name: Option<&str>, scroll_to_center: bool, timeout_ms: u64, ) -> OpenPageResult<std::path::PathBuf>
3137 | method | impl WebElement | pub | code | pub fn focus(&self) -> OpenPageResult<()>
3146 | method | impl WebElement | pub | code | pub fn hover(&self) -> OpenPageResult<()>
3155 | method | impl WebElement | pub | code | pub fn hover_with_offset( &self, offset_x: Option<f64>, offset_y: Option<f64>, ) -> OpenPageResult<()>
3170 | method | impl WebElement | pub | code | pub fn drag(&self, offset_x: f64, offset_y: f64, duration_secs: f64) -> OpenPageResult<()>
3181 | method | impl WebElement | pub | code | pub fn drag_to_element(&self, target: &WebElement, duration_secs: f64) -> OpenPageResult<()>
3195 | method | impl WebElement | pub | code | pub fn drag_to<'a, T>(&self, target: T, duration_secs: f64) -> OpenPageResult<()> where T: Into<WebElementDragTarget<'a>>,
3219 | method | impl WebElement | private | code | fn drag_to_browser_element( &self, target: &WebElement, duration_secs: f64, ) -> OpenPageResult<()>
3237 | method | impl WebElement | pub | code | pub fn drag_to_point(&self, x: f64, y: f64, duration_secs: f64) -> OpenPageResult<()>
3248 | method | impl WebElement | pub | code | pub fn remove_attr(&self, name: &str) -> OpenPageResult<()>
3257 | method | impl WebElement | pub | code | pub fn set_attr(&self, name: &str, value: &str) -> OpenPageResult<()>
3266 | method | impl WebElement | pub | code | pub fn set_property(&self, name: &str, value: &Value) -> OpenPageResult<()>
3275 | method | impl WebElement | pub | code | pub fn set_style(&self, name: &str, value: &str) -> OpenPageResult<()>
3284 | method | impl WebElement | pub | code | pub fn set_checked(&self, checked: bool) -> OpenPageResult<()>
3293 | method | impl WebElement | pub | code | pub fn check(&self, uncheck: bool, by_js: bool) -> OpenPageResult<()>
3302 | method | impl WebElement | pub | code | pub fn uncheck(&self, by_js: bool) -> OpenPageResult<()>
3311 | method | impl WebElement | pub | code | pub fn is_multi_select(&self) -> OpenPageResult<bool>
3318 | method | impl WebElement | pub | code | pub fn option_texts(&self) -> OpenPageResult<Vec<String>>
3334 | method | impl WebElement | pub | code | pub fn selected_option(&self) -> OpenPageResult<Option<String>>
3350 | method | impl WebElement | pub | code | pub fn selected_options(&self) -> OpenPageResult<Vec<String>>
3366 | method | impl WebElement | pub | code | pub fn option_elements(&self) -> OpenPageResult<Vec<WebElement>>
3370 | method | impl WebElement | pub | code | pub fn selected_option_element(&self) -> OpenPageResult<Option<WebElement>>
3374 | method | impl WebElement | pub | code | pub fn selected_option_elements(&self) -> OpenPageResult<Vec<WebElement>>
3381 | method | impl WebElement | pub | code | pub fn select_by_text<'a, I>(&self, text: I) -> OpenPageResult<bool> where I: Into<ActionsInput<'a>>,
3393 | method | impl WebElement | pub | code | pub fn select_by_text_with_timeout<'a, I>( &self, text: I, timeout_ms: Option<u64>, ) -> OpenPageResult<bool> where I: Into<ActionsInput<'a>>,
3411 | method | impl WebElement | pub | code | pub fn select_by_value<'a, I>(&self, value: I) -> OpenPageResult<bool> where I: Into<ActionsInput<'a>>,
3423 | method | impl WebElement | pub | code | pub fn select_by_value_with_timeout<'a, I>( &self, value: I, timeout_ms: Option<u64>, ) -> OpenPageResult<bool> where I: Into<ActionsInput<'a>>,
3441 | method | impl WebElement | pub | code | pub fn select_by_locator<'a, L>(&self, locator: L) -> OpenPageResult<bool> where L: Into<LocatorBatchInput<'a>>,
3455 | method | impl WebElement | pub | code | pub fn select_by_locator_with_timeout<'a, L>( &self, locator: L, timeout_ms: Option<u64>, ) -> OpenPageResult<bool> where L: Into<LocatorBatchInput<'a>>,
3473 | method | impl WebElement | pub | code | pub fn select_by_index<I>(&self, index: I) -> OpenPageResult<bool> where I: Into<SelectIndexInput>,
3485 | method | impl WebElement | pub | code | pub fn select_by_index_with_timeout<I>( &self, index: I, timeout_ms: Option<u64>, ) -> OpenPageResult<bool> where I: Into<SelectIndexInput>,
3503 | method | impl WebElement | pub | code | pub fn select_by_indices(&self, indices: &[usize]) -> OpenPageResult<bool>
3514 | method | impl WebElement | pub | code | pub fn select_by_indices_with_timeout( &self, indices: &[usize], timeout_ms: Option<u64>, ) -> OpenPageResult<bool>
3529 | method | impl WebElement | pub | code | pub fn select_by_option<'a, I>(&self, option: I) -> OpenPageResult<bool> where I: Into<WebSelectOptionInput<'a>>,
3540 | method | impl WebElement | private | code | fn select_by_option_value(&self, option: &WebElement) -> OpenPageResult<bool>
3554 | method | impl WebElement | pub | code | pub fn select_by_options(&self, options: &[&WebElement]) -> OpenPageResult<bool>
3562 | method | impl WebElement | pub | code | pub fn cancel_by_text<'a, I>(&self, text: I) -> OpenPageResult<bool> where I: Into<ActionsInput<'a>>,
3574 | method | impl WebElement | pub | code | pub fn cancel_by_text_with_timeout<'a, I>( &self, text: I, timeout_ms: Option<u64>, ) -> OpenPageResult<bool> where I: Into<ActionsInput<'a>>,
3592 | method | impl WebElement | pub | code | pub fn cancel_by_value<'a, I>(&self, value: I) -> OpenPageResult<bool> where I: Into<ActionsInput<'a>>,
3604 | method | impl WebElement | pub | code | pub fn cancel_by_value_with_timeout<'a, I>( &self, value: I, timeout_ms: Option<u64>, ) -> OpenPageResult<bool> where I: Into<ActionsInput<'a>>,
3622 | method | impl WebElement | pub | code | pub fn cancel_by_index<I>(&self, index: I) -> OpenPageResult<bool> where I: Into<SelectIndexInput>,
3634 | method | impl WebElement | pub | code | pub fn cancel_by_index_with_timeout<I>( &self, index: I, timeout_ms: Option<u64>, ) -> OpenPageResult<bool> where I: Into<SelectIndexInput>,
3652 | method | impl WebElement | pub | code | pub fn cancel_by_indices(&self, indices: &[usize]) -> OpenPageResult<bool>
3663 | method | impl WebElement | pub | code | pub fn cancel_by_indices_with_timeout( &self, indices: &[usize], timeout_ms: Option<u64>, ) -> OpenPageResult<bool>
3678 | method | impl WebElement | pub | code | pub fn cancel_by_locator<'a, L>(&self, locator: L) -> OpenPageResult<bool> where L: Into<LocatorBatchInput<'a>>,
3692 | method | impl WebElement | pub | code | pub fn cancel_by_locator_with_timeout<'a, L>( &self, locator: L, timeout_ms: Option<u64>, ) -> OpenPageResult<bool> where L: Into<LocatorBatchInput<'a>>,
3710 | method | impl WebElement | pub | code | pub fn cancel_by_option<'a, I>(&self, option: I) -> OpenPageResult<bool> where I: Into<WebSelectOptionInput<'a>>,
3721 | method | impl WebElement | private | code | fn cancel_by_option_value(&self, option: &WebElement) -> OpenPageResult<bool>
3735 | method | impl WebElement | pub | code | pub fn cancel_by_options(&self, options: &[&WebElement]) -> OpenPageResult<bool>
3743 | method | impl WebElement | pub | code | pub fn select_all(&self) -> OpenPageResult<()>
3752 | method | impl WebElement | pub | code | pub fn invert_selected(&self) -> OpenPageResult<()>
3761 | method | impl WebElement | pub | code | pub fn clear_selected(&self) -> OpenPageResult<()>
3770 | method | impl WebElement | pub | code | pub fn rect_corners(&self) -> OpenPageResult<Option<Vec<(f64, f64)>>>
3779 | method | impl WebElement | pub | code | pub fn rect_viewport_corners(&self) -> OpenPageResult<Option<Vec<(f64, f64)>>>
3788 | method | impl WebElement | pub | code | pub fn rect_location(&self) -> OpenPageResult<Option<(f64, f64)>>
3797 | method | impl WebElement | pub | code | pub fn rect_viewport_location(&self) -> OpenPageResult<Option<(f64, f64)>>
3806 | method | impl WebElement | pub | code | pub fn rect_screen_location(&self) -> OpenPageResult<Option<(f64, f64)>>
3815 | method | impl WebElement | pub | code | pub fn rect_midpoint(&self) -> OpenPageResult<Option<(f64, f64)>>
3824 | method | impl WebElement | pub | code | pub fn rect_viewport_midpoint(&self) -> OpenPageResult<Option<(f64, f64)>>
3833 | method | impl WebElement | pub | code | pub fn rect_click_point(&self) -> OpenPageResult<Option<(f64, f64)>>
3842 | method | impl WebElement | pub | code | pub fn rect_viewport_click_point(&self) -> OpenPageResult<Option<(f64, f64)>>
3853 | method | impl WebElement | pub | code | pub fn rect_size(&self) -> OpenPageResult<Option<(f64, f64)>>
3862 | method | impl WebElement | pub | code | pub fn rect_screen_midpoint(&self) -> OpenPageResult<Option<(f64, f64)>>
3871 | method | impl WebElement | pub | code | pub fn rect_screen_click_point(&self) -> OpenPageResult<Option<(f64, f64)>>
3880 | method | impl WebElement | pub | code | pub fn rect_scroll_position(&self) -> OpenPageResult<Option<(f64, f64)>>
3889 | method | impl WebElement | pub | code | pub fn wait_until_displayed(&self, timeout_ms: u64) -> OpenPageResult<bool>
3900 | method | impl WebElement | pub | code | pub fn wait_until_hidden(&self, timeout_ms: u64) -> OpenPageResult<bool>
3911 | method | impl WebElement | pub | code | pub fn wait_until_enabled(&self, timeout_ms: u64) -> OpenPageResult<bool>
3922 | method | impl WebElement | pub | code | pub fn wait_until_disabled(&self, timeout_ms: u64) -> OpenPageResult<bool>
3933 | method | impl WebElement | pub | code | pub fn wait_until_deleted(&self, timeout_ms: u64) -> OpenPageResult<bool>
3944 | method | impl WebElement | pub | code | pub fn wait_until_clickable(&self, timeout_ms: u64) -> OpenPageResult<bool>
